targets, functions
FOXP3, IL2 & (TGFB | FOXP3) & !IL21 & !RORGT
TGFB,  (TGFBe | ((TGFB | FOXP3) &  !IL21 ))
IL2,   (IL2e | (IL2 & !FOXP3)) & !IL21
IL21,  (IL21e | IL21 | RORGT) & !IL2
RORGT, IL21 & TGFB & !FOXP3
TGFBe, TGFBe
IL2e,  IL2e
IL21e, IL21e
